URL,ASIN,Title,Brand,Fulfillment,BSR,Price,Monthly Sales,Monthly Revenue,Review Count,Reviews Rating,Seller,Number of Active Sellers,Last Year Sales,Size Tier,Length,Width,Height,Weight,Storage Fee (Jan - Sep),Storage Fee (Oct - Dec),Best Sales Period,Age (Month),Number of Images,Variation Count,Sales to Reviews
https://amazon.com/dp/B0DHWT9JG4,B0DHWT9JG4,"Bee Harmony Rare Varietals Honey Flight, Mini Honey Gift Set, 4 Jars, 3 OZ Each, Premium Raw Honey (Acacia, Buckwheat, Blueberry Blossom, Orange Blossom)",Bee Harmony,FBM,18331,31.99,306,9788.94,747,4.7,Barkman Honey,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10/01/2024,1,3,3,0.41
https://amazon.com/dp/B07JJ3VDC8,B07JJ3VDC8,"Bee Harmony Classic Honey Flight, Mini Honey Gift Set, 4 Jars, 3 OZ Each, Premium Raw Honey, Made in the USA",Bee Harmony,FBM,17153,24.99,306,7646.94,747,4.7,Barkman Honey,1,0,Large Standard-Size,12,6,4,3,N/A,N/A,10/01/2024,72,9,3,0.41
https://amazon.com/dp/B0CPMD7TKP,B0CPMD7TKP,New Zealand Honey Co. Manuka Honey UMF 26+ (MGO 1300+) Squeezy Bottle 17.6 oz / 1.1 lb (500g),NEW ZEALAND HONEY CO,FBA,122046,339.88,24,8157.12,78,4.8,New Zealand Honey Co,1,0,Large Standard-Size,2.44,2.48,6.89,1.21,20.99,57.91,10/01/2024,7,9,0,0.31
https://amazon.com/dp/B00W3CME4I,B00W3CME4I,"Rigoni di Asiago Mielbio Organic Italian Raw and Creamy Honey, Linden, 6 Count",Rigoni di Asiago,Amazon,28564,75.28,181,13625.68,459,4.4,Amazon,1,3103,Large Standard-Size,5.63,8.15,10,7.58,N/A,N/A,10/01/2023,86,2,14,0.39
https://amazon.com/dp/B00ORH7MGW,B00ORH7MGW,"Rigoni di Asiago Mielbio Organic Italian Raw and Creamy Honey, Wildflower, 6 Count",Rigoni di Asiago,Amazon,30509,53.49,181,9681.69,459,4.4,Amazon,1,3103,Large Standard-Size,5.59,8.23,10.04,7.58,N/A,N/A,10/01/2023,86,4,14,0.39
https://amazon.com/dp/B085F3XC48,B085F3XC48,1 lb. 100% Raw & Unfiltered Gallberry Honey with Comb - American Made by Pure Southern Honey,Pure Southern Honey,FBA,18886,19.49,418,8146.82,568,4.5,"Pure Southern Honey, LLC.",2,4645,Large Standard-Size,3.11,4.21,6.65,1.63,43.84,120.93,03/01/2024,56,5,0,0.74
https://amazon.com/dp/B07285NWFT,B07285NWFT,"Savannah Bee Company Honey - Pure, Natural, Raw Honey - Tupelo Honey",Savannah Bee Company,FBA,16471,9.99,334,3336.66,373,4.7,BIGFLY,3,3643,Large Standard-Size,2.28,2.4,6.06,0.42,16.7,46.06,09/01/2024,89,7,13,0.9
https://amazon.com/dp/B09DF9NRYQ,B09DF9NRYQ,Steens Manuka Honey - UMF 24+ and MGO 1122+ - Pure & Raw 100% Certified Manuka Honey - Bottled and Sealed in New Zealand - 7.9 oz,Steens,FBA,44929,89.9,90,8091,19,4.5,Steens Honey,1,0,Large Standard-Size,2.52,3.31,9.13,0.57,38.34,105.77,10/01/2024,2,9,0,4.71
https://amazon.com/dp/B00RHX9OEG,B00RHX9OEG,"Glorybee, Organic Light & Mild Honey, 100% US Grade A Honey, 48 oz",GloryBee,Amazon,22461,20.75,345,7158.75,1420,4.5,Amazon,1,4671,Large Standard-Size,4.13,4.17,5.31,3.15,N/A,N/A,01/01/2023,100,5,3,0.24
https://amazon.com/dp/B0C2KF1MJ8,B0C2KF1MJ8,Steens Manuka Honey - MGO 263+ - Pure & Raw 100% Certified UMF 10+ Manuka Honey - Bottled and Sealed in New Zealand - 1x 7.9 oz Jar,Steens,FBA,41301,29.9,200,5980,358,4.6,Steens Honey,2,0,Large Standard-Size,2.2,2.2,3.31,0.57,8.07,22.25,09/01/2024,18,9,3,0.56
